country,Lat,Long
afghanistan,54.23592075,-4.514766902
albania,36.7172018,59.6661311
algeria,36.3921169,-107.834908
andorra,47.2923759,23.0209883
angola,34.626275,135.605845
antigua and barbuda,46.2959997,18.204151
argentina,33.0214461,-92.72446251
armenia,45.0100943,21.4012452
australia,47.7563917,7.0194428
austria,50.6288684,3.785318028
azerbaijan,45.4650871,22.2338393
bahamas,42.1877996,22.3876518
bahrain,-19.9227318,-43.9450948
bangladesh,6.5193503,101.3177069
barbados,42.8677615,74.5874803
belarus,53.7169415,27.9775789
belgium,52.5170365,13.3888599
belize,49.9678396,20.6068496
benin,22.5902239,88.4267468
bermuda,29.1059864,58.3565663
bhutan,51.3813864,-2.3596963
bolivia,-16.2837065,-63.5493965
bosnia and herzegovina,29.4043601,106.5368478
botswana,43.2957547,-0.3685668
brazil,42.0979745,19.0954528
brunei,4.5242486,114.7196266
bulgaria,45.6944947,9.6698727
burkina faso,14.7321052,121.0237227
cambodia,11.9879665,104.9806145
cameroon,-3.3638125,29.3675028
canada,-22.1822689,-44.68776
cape verde,15.120142,-23.6051721
cayman islands,19.3298586,-81.2523601
chad,15.446105,18.7350005
chile,51.6901245,-9.5131483
china,19.3091175,100.1647501
colombia,60.29492475,26.004702
comoros,-11.6519809,43.3725967
congo,-0.6605788,14.8965794
costa rica,41.3650699,-95.858422
croatia,4.333771,73.60197749
cuba,47.00740025,28.8431466
cyprus,53.1853776,-3.4178289
czech republic,49.8037633,15.4749126
denmark,25.2856329,51.5264162
djibouti,11.8226699,42.5883476
dominica,53.3759661,14.6659283
dominican republic,42.9000719,18.0298066
ecuador,50.2425871,20.7237798
egypt,56.9079254,-6.160063789
equatorial guinea,1.6195138,10.317782
eritrea,42.4406621,2.0328526
estonia,53.3300561,6.1040747
ethiopia,50.3260433,3.6671281
faroe islands,49.5374982,4.5001619
fiji,7.0682339,125.5825322
finland,14.0685426,-5.4854786
france,46.8101241,7.171828
gabon,43.1514226,-77.7130004
gambia,37.36827785,-121.8840853
georgia,6.453333,-8.998056
germany,47.3521149,5.0008333
ghana,36.159,46.6714
greece,48.1890811,10.8220308
grenada,4.87108555,72.9977179
guatemala,31.6268616,34.7951088
guernsey,49.4630653,-2.5881123
guinea,9.9327629,-11.3580296
guinea-bissau,25.3562859,60.8477664
guyana,47.4068,5.8146609
haiti,37.2112612,-77.4072045
holy see,41.9038795,12.4520834
honduras,40.8525767,48.4162128
hong kong,31.0869054,53.3006387
hungary,31.2322758,121.4692071
iceland,33.6938118,73.0651511
india,66.8789958,13.44650821
indonesia,40.3452003,41.871138
